Player,Mat,Inns,Not_Outs,Runs,HS,Ave,BF,SR,hundreds,fifties,Ducks,fours,sixes
DJ Bravo (WI),24,20,0,423,69,21.15,531,80,0,2,0,34,11
DJ Hussey (Aus),23,21,0,598,111,28.47,676,88,1,4,0,39,13
DJ Reekers (Neth),6,6,0,94,35,15.66,101,93,0,0,2,17,1
DJG Sammy (WI),24,21,4,333,51,19.58,389,86,0,1,0,25,8
DL Hemp (Ber),2,2,1,183,102,183,253,72,1,1,0,18,0
DL Vettori (NZ),38,22,8,389,48,27.78,447,87,0,0,1,28,3
DLS van Bunge (Neth),8,7,0,171,80,24.42,232,74,0,1,1,15,5
DM Bravo (WI),4,2,0,40,21,20,31,129,0,0,0,5,0
DM Richards (WI),4,3,0,22,20,7.33,44,50,0,0,0,3,0
DO Obuya (Kenya),14,13,0,326,56,25.07,427,76,0,1,1,36,2
DP Nannes (Aus),1,1,0,1,1,1,2,50,0,0,0,0,0
DPMD Jayawardene (SL),49,47,3,1209,123,27.47,1561,77,1,9,5,100,10
DR Flynn (NZ),16,13,2,167,35,15.18,292,57,0,0,2,14,1
DR Tuffey (NZ),3,2,0,6,4,3,9,67,0,0,0,1,0
DS Smith (WI),9,9,0,279,91,31,350,80,0,2,0,25,4
DT Johnston (Ire),11,7,3,85,31,21.25,132,64,0,0,1,7,0
DW Steyn (SA),25,7,4,33,17,11,38,87,0,0,1,3,0
Dhiman Ghosh (Bang),14,12,3,126,30,14,201,63,0,0,3,9,1
Dolar Mahmud (Bang),7,4,0,61,41,15.25,44,139,0,0,2,5,4
E Chigumbura (Zim),36,35,3,796,79,24.87,900,88,0,5,2,64,28
E Katchay (Can),5,3,1,23,12,11.5,41,56,0,0,0,0,0
E Otieno (Kenya),8,5,3,12,8,6,34,35,0,0,1,0,0
E Schiferli (Neth),10,6,3,57,41,19,51,112,0,0,1,5,3
EC Rainsford (Zim),12,7,6,2,1,2,18,11,0,0,0,0,0
EHSN Silva (UAE),1,1,0,7,7,7,13,54,0,0,0,0,0
EJG Morgan (Eng/Ire),17,17,4,503,84,38.69,610,82,0,5,0,38,15
ES Szwarczynski (Neth),8,8,0,286,65,35.75,409,70,0,3,1,24,0
Enamul Haque jnr (Bang),7,3,0,8,5,2.66,16,50,0,0,1,0,0
F Mutizwa (Zim),9,8,1,263,79,37.57,272,97,0,3,1,24,6
FH Edwards (WI),21,13,9,53,13,13.25,95,56,0,0,2,5,0
FL Reifer (WI),6,6,0,86,40,14.33,184,47,0,0,0,6,1
FS Crockwell (Ber),2,2,0,68,45,34,104,65,0,0,0,8,2
Fahad Alhashmi (UAE),2,2,0,0,0,0,6,0,0,0,2,0,0
Farhad Reza (Bang),14,13,3,95,26,9.5,194,49,0,0,1,8,1
Fawad Alam (Pak),12,10,6,178,63,44.5,261,68,0,1,0,11,0
G Blakeney (Ber),2,2,0,72,42,36,69,104,0,0,0,8,1
G Gambhir (India),49,46,4,1772,150,42.19,1949,91,4,12,3,183,11
G Goudie (Scot),4,3,1,32,17,16,51,63,0,0,0,2,2
G Onions (Eng),4,1,0,1,1,1,2,50,0,0,0,0,0
GA Manou (Aus),4,1,0,7,7,7,6,117,0,0,0,0,0
GA Rogers (Scot),3,1,0,0,0,0,1,0,0,0,1,0,0
GB Brent (Zim),4,4,2,44,14,22,50,88,0,0,0,3,0
GB Hogg (Aus),7,5,1,85,32,21.25,132,64,0,0,0,2,0
GC Smith (SA),20,20,2,873,141,48.5,972,90,2,7,0,107,7
GC Tonge (WI),5,4,2,10,5,5,16,63,0,0,0,1,0
GC Wilson (Ire),15,15,1,277,51,19.78,419,66,0,2,3,33,3
GD Drummond (Scot),8,5,2,59,25,19.66,88,67,0,0,1,7,0
GD Elliott (NZ),28,20,6,610,115,43.57,802,76,1,3,2,38,4
GE Kidd (Ire),3,1,0,15,15,15,25,60,0,0,0,2,0
GEF Barnett (Can),6,6,0,112,49,18.66,156,72,0,0,0,12,2
GH O'Brien (Ber),3,3,0,18,11,6,21,86,0,0,0,1,1
GJ Batty (Eng),3,3,1,24,17,12,54,44,0,0,0,1,0
GJ Hopkins (NZ),6,4,0,47,25,11.75,73,64,0,0,0,4,0
GJ Thompson (Ire),3,2,0,2,2,1,21,10,0,0,1,0,0
GM Hamilton (Scot),13,13,0,501,119,38.53,778,64,2,2,0,41,5
GMC Mol (Neth),3,2,1,16,14,16,38,42,0,0,0,3,0
GP Swann (Eng),22,16,2,138,29,9.85,198,70,0,0,0,13,0
H Masakadza (Zim),38,38,2,1411,178,39.19,1637,86,3,8,1,156,22
H Osinde (Can),11,6,2,1,1,0.25,8,13,0,0,3,0,0
