Player,Mat,Inns,Not_Outs,Runs,HS,Ave,BF,SR,hundreds,fifties,Ducks,fours,sixes
S Keshvani (Can),5,2,0,21,17,10.5,38,55,0,0,0,0,0
S Matsikenyeri (Zim),34,33,3,829,90,27.63,1029,81,0,6,1,60,11
S Sreesanth (India),7,4,2,9,4,4.5,13,69,0,0,0,0,0
S Thuraisingam (Can),1,1,0,7,7,7,9,78,0,0,0,1,0
SB Styris (NZ),18,15,3,289,87,24.08,397,73,0,2,2,26,3
SC Williams (Zim),22,21,4,569,75,33.47,805,71,0,5,0,44,3
SCJ Broad (Eng),34,21,5,172,26,10.75,223,77,0,0,3,12,2
SD Outerbridge (Ber),8,8,0,218,56,27.25,352,62,0,1,0,19,2
SE Bond (NZ),10,6,5,28,10,28,42,67,0,0,1,2,0
SE Findlay (WI),9,8,1,146,59,20.85,194,75,0,1,0,14,5
SE Marsh (Aus),19,19,1,726,112,40.33,945,77,1,5,1,68,6
SHT Kandamby (SL),17,17,3,618,93,44.14,864,72,0,5,0,50,0
SJ Benn (WI),11,8,1,70,31,10,84,83,0,0,2,7,1
SJ Harmison (Eng),12,3,1,24,18,12,25,96,0,0,1,1,0
SK Raina (India),41,37,8,1201,116,41.41,1238,97,2,9,3,94,39
SL Malinga (SL),17,9,1,38,15,4.75,81,47,0,0,4,2,1
SM Davies (Eng),1,1,0,5,5,5,4,125,0,0,0,0,0
SM Harwood (Aus),1,1,0,0,0,0,4,0,0,0,1,0,0
SM Pollock (SA),5,3,2,43,21,43,45,96,0,0,0,3,0
SO Tikolo (Kenya),25,23,1,519,102,23.59,637,81,1,2,3,48,6
SR Clark (Aus),11,4,2,10,8,5,20,50,0,0,1,0,0
SR Patel (Eng),11,5,0,116,31,23.2,124,94,0,0,0,6,4
SR Tendulkar (India),29,28,2,1216,175,46.76,1353,90,4,4,1,125,12
SR Waters (Kenya),12,12,0,261,74,21.75,442,59,0,1,2,37,1
SR Watson (Aus),31,31,4,1275,136,47.22,1490,86,4,3,5,137,22
ST Jayasuriya (SL),38,37,0,1170,130,31.62,1147,102,3,4,5,143,25
SW Tait (Aus),4,3,2,13,9,13,17,76,0,0,1,2,0
Saeed Ajmal (Pak),22,11,8,39,16,13,63,62,0,0,2,4,0
Salman Butt (Pak),30,29,3,1194,136,45.92,1499,80,4,7,6,137,6
Samiullah Shenwari (Afg,3,3,1,118,52,59,145,81,0,1,0,7,2
Saqib Ali (UAE),2,2,0,29,19,14.5,53,55,0,0,0,2,0
Sarfraz Ahmed (Pak),7,2,0,26,19,13,46,57,0,0,0,1,0
Shahadat Hossain (Bang),16,9,6,28,12,9.33,54,52,0,0,3,4,0
Shahid Afridi (Pak),39,32,6,586,85,22.53,492,119,0,2,3,46,16
Shahriar Nafees (Bang),11,11,1,292,90,29.2,418,70,0,3,1,36,0
Shakib Al Hasan (Bang),38,35,5,1079,108,35.96,1215,89,3,7,1,98,14
Shapoor Zadran (Afgh),2,1,0,1,1,1,7,14,0,0,0,0,0
Shoaib Akhtar (Pak),6,3,1,28,25,14,26,108,0,0,0,4,1
Shoaib Malik (Pak),37,32,4,1080,128,38.57,1265,85,2,7,1,95,8
Skhawat Ali (HK),2,2,0,8,8,4,23,35,0,0,1,1,0
Sohail Khan (Pak),4,1,0,4,4,4,9,44,0,0,0,1,0
Sohail Tanvir (Pak),23,11,2,129,59,14.33,146,88,0,1,0,13,0
Syed Rasel (Bang),15,7,3,16,7,4,36,44,0,0,1,1,0
T Maruma (Zim),3,3,0,34,32,11.33,58,59,0,0,1,5,0
T Mupariwa (Zim),13,10,3,16,10,2.28,61,26,0,0,5,0,0
T Taibu (Zim),20,20,2,556,103,30.88,794,70,1,3,1,34,4
T Thushara (SL),32,25,6,357,54,18.78,372,96,0,1,4,29,8
TC Bastiampillai (Can),2,2,0,8,8,4,18,44,0,0,1,1,0
TD Paine (Aus),15,15,1,447,111,31.92,610,73,1,3,1,55,3
TG Southee (NZ),24,11,3,97,32,12.12,84,115,0,0,2,7,5
TL Best (WI),1,1,0,8,8,8,19,42,0,0,0,1,0
TM Dilshan (SL),35,32,3,1061,137,36.58,1136,93,2,6,1,116,6
TM Dowlin (WI),6,6,1,217,100,43.4,311,70,1,1,1,19,1
TM Odoyo (Kenya),20,16,1,271,45,18.06,376,72,0,0,3,17,12
TN de Grooth (Neth),9,9,3,123,24,20.5,215,57,0,0,0,11,0
TR Ambrose (Eng),5,5,1,10,6,2.5,34,29,0,0,1,0,0
TT Bresnan (Eng),11,9,5,195,80,48.75,212,92,0,1,0,25,0
TT Samaraweera (SL),8,8,1,238,104,34,333,71,1,0,1,21,0
Tabarak Dar (HK),2,2,0,45,24,22.5,88,51,0,0,0,5,0
Tamim Iqbal (Bang),45,45,0,1409,154,31.31,1797,78,2,8,6,160,16
U Bhatti (Can),8,6,2,84,46,21,117,72,0,0,0,7,0
Umar Akmal (Pak),10,9,3,299,102,49.83,314,95,1,2,1,26,6
Umar Gul (Pak),28,16,3,131,33,10.07,170,77,0,0,4,12,3
V Kohli (India),11,10,2,296,79,37,426,69,0,2,0,35,3
V Sehwag (India),33,33,1,1499,125,46.84,1193,126,3,10,0,206,36
V Shetty (UAE),1,1,0,7,7,7,17,41,0,0,0,0,0
V Sibanda (Zim),21,21,0,332,77,15.8,590,56,0,2,2,38,3
VB van Jaarsveld (SA),2,2,0,9,5,4.5,15,60,0,0,0,0,0
VD Philander (SA),2,2,0,33,23,16.5,39,85,0,0,0,3,0
WB Rankin (Ire),10,2,1,1,1,1,5,20,0,0,0,0,0
WD Balaji Rao (Can),2,2,0,13,10,6.5,30,43,0,0,0,1,0
WK McCallan (Ire),17,10,5,138,39,27.6,158,87,0,0,1,15,0
WPUJC Vaas (SL),17,12,4,91,19,11.37,155,59,0,0,3,5,0
WTS Porterfield (Ire),17,17,1,536,104,33.5,728,74,2,2,0,68,4
WU Tharanga (SL),17,16,1,366,80,24.4,601,61,0,2,3,42,1
Wahab Riaz (Pak),5,4,1,4,3,1.33,14,29,0,0,2,0,0
XM Marshall (WI),14,14,3,277,157,25.18,333,83,1,0,5,26,12
YK Pathan (India),30,20,8,247,59,20.58,250,99,0,2,6,18,11
Yasir Arafat (Pak),4,3,2,26,23,26,49,53,0,0,0,2,1
Younis Khan (Pak),37,35,1,1282,123,37.7,1545,83,3,8,4,115,10
Yuvraj Singh (India),49,47,5,1653,138,39.35,1667,99,4,8,3,167,52
Z Khan (India),18,8,1,41,17,5.85,106,39,0,0,1,0,1
ZE Surkari (Can),6,5,1,81,33,20.25,144,56,0,0,0,8,0
